ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
178,-87.1250,12.8750,3.7977,4.3642,2.6215,3.4244,4.0308,3.1881,4.2050,2.8546,3.8282,4.1205,3.8759,3.6764,2.3198,4.2854,3.7999
179,-86.8750,12.8750,3.5981,4.0720,2.7296,3.4594,3.8291,3.2909,4.0315,2.5844,3.7669,3.8535,3.5976,3.5142,2.4630,3.8847,3.5844
180,-86.6250,12.8750,3.3982,3.8873,2.7387,3.3432,3.6485,3.2431,3.8835,2.3667,3.6354,3.6624,3.4664,3.4363,2.6647,3.6175,3.3953
181,-86.3750,12.8750,3.4457,3.7589,2.7210,3.2749,3.5325,3.2204,3.8720,2.4280,3.5244,3.7608,3.4006,3.4975,2.8539,3.6506,3.4541
182,-86.1250,12.8750,3.5731,3.9065,2.8613,3.7269,4.0190,3.4098,4.0987,2.5519,3.6084,3.8963,3.6651,3.6748,3.4573,3.8267,3.9483
183,-85.8750,12.8750,4.1770,4.2046,3.2048,4.0782,4.3571,3.8266,4.4084,2.9851,4.1816,4.2620,4.0066,4.2313,3.9680,4.6292,4.6986
184,-85.6250,12.8750,4.8892,4.6905,4.0010,5.0707,4.9167,4.8712,4.8806,3.3516,4.6790,4.9014,4.7323,4.9495,4.8435,5.4133,5.3134
185,-85.3750,12.8750,5.6604,5.3892,4.9065,5.9003,5.6963,5.8115,5.5535,4.1795,5.3388,5.8174,5.3566,5.7103,5.8593,6.1723,6.0720
186,-85.1250,12.8750,6.7634,6.3270,6.0787,6.8931,6.6973,6.7354,6.5308,5.9457,6.6114,6.9005,6.5448,6.9178,7.3005,7.4237,7.1119
199,-87.3750,13.1250,3.8215,4.3528,2.4374,3.6716,4.0868,3.1601,4.2536,3.0089,3.9241,4.1714,3.9343,3.7385,2.7109,4.4197,3.8157
200,-87.1250,13.1250,3.7064,4.1523,2.5290,3.6706,3.9939,3.0445,4.1068,2.9157,3.9009,4.0398,3.8006,3.7912,2.8590,4.1085,3.5550
201,-86.8750,13.1250,3.4909,4.1255,2.5310,3.5261,3.8428,3.1457,4.0582,2.7335,3.8402,3.9406,3.6767,3.6583,2.9911,3.8297,3.5980
202,-86.6250,13.1250,3.6247,4.1680,2.7020,3.5576,3.8289,3.3722,4.2117,2.5958,3.8947,4.1871,3.7056,3.7553,3.1680,3.8705,3.8801
203,-86.3750,13.1250,3.7296,4.3736,3.0477,4.0136,4.3253,3.6452,4.5169,2.8402,4.2223,4.4640,4.0260,4.0151,3.7764,4.1217,4.3209
204,-86.1250,13.1250,4.2831,4.8834,3.5698,4.7126,4.6799,4.2162,4.9528,3.4018,5.0887,4.8769,4.6857,4.7191,4.5550,5.2469,5.1248
205,-85.8750,13.1250,5.4123,5.4837,3.9662,5.6412,5.4886,4.9164,5.5648,3.9455,5.7708,5.9633,5.4637,5.4686,5.2628,5.9620,5.8753
206,-85.6250,13.1250,6.4173,6.0307,5.2905,6.5566,6.3187,6.0189,6.2383,4.7309,6.4841,6.6197,5.9589,6.3652,6.1474,6.6637,6.5160
207,-85.3750,13.1250,6.9856,6.3880,6.0540,7.2454,6.9420,6.7533,6.7744,5.5438,7.0213,7.2713,6.4931,6.8642,7.0837,7.1488,7.0423
208,-85.1250,13.1250,8.2560,6.8013,6.4886,8.3713,7.5101,7.5024,7.5016,7.0477,7.6731,8.3216,7.2947,7.8790,8.3353,7.9750,7.7911
209,-84.8750,13.1250,9.3428,7.4079,7.9272,9.4403,8.8062,8.9187,8.4986,8.6692,8.8346,9.0145,8.4719,9.1843,9.6351,8.7880,8.7413
218,-88.8750,13.3750,5.6746,6.9665,4.5952,6.1177,6.5502,6.0768,6.4445,6.1055,6.2599,6.8822,6.8713,6.3281,5.8083,6.5258,6.0827
219,-88.6250,13.3750,5.2526,6.6008,4.2314,6.2190,5.9642,5.4890,6.0839,5.4830,5.9784,6.5078,6.3848,6.0313,5.3310,6.1047,5.6702
220,-88.3750,13.3750,4.9202,5.9673,2.8387,5.3941,5.5649,5.0822,5.4155,4.8370,5.6040,5.9545,5.5367,5.2786,4.4522,5.7732,5.3394
221,-88.1250,13.3750,4.6350,5.5725,2.7701,4.8561,5.1517,3.9742,5.1464,4.4253,5.2190,5.3977,5.0548,4.9244,3.9631,5.4484,4.9657
222,-87.8750,13.3750,4.3974,5.1761,3.4641,3.8792,4.4811,3.6861,4.7269,3.4403,4.9229,4.9043,4.3439,4.6488,3.6565,5.0100,4.3917
224,-87.3750,13.3750,3.6113,4.1280,2.2826,3.5501,3.9531,2.9587,3.9493,3.0001,3.8429,4.0751,3.7363,3.8871,3.1583,4.0467,3.6478
225,-87.1250,13.3750,3.4562,3.9081,2.2547,3.4811,3.8081,2.8012,3.8436,2.8968,3.7443,3.9278,3.5714,3.6490,3.1819,3.7902,3.4910
